type,title,director_cleaned,cast_cleaned,country_cleaned,release_year,rating,date_added,duration,listed_in,Data_Quality_Notes
TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2020,TV-MA,12-10-2021,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,2021,TV-14,13-10-2021,94 min,Thrillers,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,2021,TV-MA,14-10-2021,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,2021,TV-14,15-10-2021,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,2018,TV-14,16-10-2021,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,1996,TV-PG,17-10-2021,161 min,"Comedies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,2021,TV-Y,18-10-2021,61 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,1998,TV-14,19-10-2021,166 min,"Comedies, International Movies, Romantic Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,2021,TV-14,20-10-2021,2 Seasons,"Docuseries, International TV Shows, Reality TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,1997,TV-PG,21-10-2021,147 min,"Comedies, International Movies, Music & Musicals",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,2010,PG-13,22-10-2021,103 min,Comedies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2013,PG-13,23-10-2021,97 min,"Horror Movies, Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",2013,PG-13,24-10-2021,106 min,Thrillers,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,2021,TV-14,25-10-2021,111 min,"Dramas, Independent Movies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Chicago Party Aunt,,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,2021,TV-MA,26-10-2021,1 Season,TV Comedies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2020,TV-MA,27-10-2021,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Squid Game,,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,2021,TV-MA,28-10-2021,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,2020,TV-Y7,29-10-2021,1 Season,Kids' TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,2021,TV-MA,30-10-2021,110 min,"Dramas, International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,2021,TV-MA,31-10-2021,105 min,"Action & Adventure, Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2018,TV-Y7,01-11-2021,1 Season,"Kids' TV, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2017,PG-13,02-11-2021,96 min,"Action & Adventure, Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021,TV-Y7,03-11-2021,3 Seasons,Kids' TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,He-Man and the Masters of the Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021,TV-Y7,04-11-2021,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,1975,PG,05-11-2021,124 min,"Action & Adventure, Classic Movies, Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,1978,PG,06-11-2021,116 min,"Dramas, Horror Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,1983,PG,07-11-2021,98 min,"Action & Adventure, Horror Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,1987,PG-13,08-11-2021,91 min,"Action & Adventure, Horror Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,My Heroes Were Cowboys,Tyler Greco,,,2021,PG,09-11-2021,23 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",2012,R,10-11-2021,115 min,Action & Adventure,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,2020,TV-MA,11-11-2021,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,2001,R,12-11-2021,122 min,"Dramas, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,2021,TV-MA,13-11-2021,2 Seasons,"International TV Shows, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,2014,TV-PG,14-11-2021,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,2002,TV-14,15-11-2021,99 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,2003,TV-14,16-11-2021,99 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,2004,TV-PG,17-11-2021,88 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,2001,TV-PG,18-11-2021,100 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,2021,TV-PG,19-11-2021,6 Seasons,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,2011,TV-14,20-11-2021,102 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,2008,TV-PG,21-11-2021,93 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,2009,TV-PG,22-11-2021,96 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,2007,TV-PG,23-11-2021,95 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,2010,TV-14,24-11-2021,85 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,2005,TV-PG,25-11-2021,97 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,2006,TV-PG,26-11-2021,95 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,2004,TV-PG,27-11-2021,83 min,"Action & Adventure, Anime Features, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",,2021,TV-PG,28-11-2021,103 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Numberblocks,,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,2021,TV-Y,29-11-2021,6 Seasons,Kids' TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
